VM,Powerstate,Template,SRM Placeholder,Config status,DNS Name,Connection state,Guest state,Heartbeat,Consolidation Needed,PowerOn,Suspend time,Creation date,Change Version,CPUs,Memory,NICs,Disks,min Required EVC Mode Key,Latency Sensitivity,EnableUUID,CBT,Primary IP Address,Network #1,Network #2,Network #3,Network #4,Network #5,Network #6,Network #7,Network #8,Num Monitors,Video Ram KiB,Resource pool,Folder,vApp,DAS protection,FT State,FT Latency,FT Bandwidth,FT Sec. Latency,Provisioned MiB,In Use MiB,Unshared MiB,HA Restart Priority,HA Isolation Response,HA VM Monitoring,Cluster rule(s),Cluster rule name(s),Boot Required,Boot delay,Boot retry delay,Boot retry enabled,Boot BIOS setup,Firmware,HW version,HW upgrade status,HW upgrade policy,HW target,Path,Log directory,Snapshot directory,Suspend directory,Annotation,Backup Status,com.vrlcm.snapshot,Domain,Last Backup,latency.enforceCpuMin,Server Shutdown for DECOM,Server_Role,SRM-com.vmware.vcDr:::protected,Datacenter,Cluster,Host,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server type,VI SDK API Version,Virtual_Machine,SAP,Operation Status,DeployedBy,GRID,Service Level,VSA Backup Application,Environment,Backup,Application,VROPS TAG,VI SDK Server,VI SDK UUID,vCenter,OS Effective,Cleaned OS,Exclusion Reason
 HOESPSSAA001,poweredOn,False,False,green,HOESPSSAA001.NA.site.local,connected,running,green,False,2024-09-18 11:23:13,,1969-12-31 21:00:00,2023-12-12 19:19:14,8,65536,1,4,intel-skylake,normal,True,True,,HCF_VDS01-VM-430,,,,,,,,1,4096,/North America/USA/Houston/HOEDCO02/HOE_PROD_CLO110_SPS_NTAP-REP-30/Resources,,,True,notConfigured,gray,-1,-1,683600,538480,471328,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,efi,13,none,never,,[HOE_PROD_CLO110_NTAP-REP-DS046]  HOESPSSAA001/ HOESPSSAA001.vmx,[HOE_PROD_CLO110_NTAP-REP-DS046]  HOESPSSAA001/,[HOE_PROD_CLO110_NTAP-REP-DS046]  HOESPSSAA001/,[HOE_PROD_CLO110_NTAP-REP-DS046]  HOESPSSAA001/,,"Backup Job ID [49304461]  Client: [hoevms150_VSA], Backup Set: [defaultBackupSet], Subclient: [HOE_PROD_CLO110_NTAP-REP-DS003]",,,1/20/2022 1:05:55 AM,,,,,HOEDCO02,HOE_PROD_CLO110_SPS_NTAP-REP-30,hoevhs1061.na.site.local,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),vm-425423,5032538d-8f72-b44a-711a-a4e3098bf87b,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,,,Operational,,,Tier 2,,Acceptance,,,,hoevms150.na.site.local,c540dd63-982e-4a14-a9d6-c6f25fef3db2,houston,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019,
2016Core,poweredOn,False,False,green,WIN-UAQMCOI4HM5,connected,running,green,False,2023-06-22 11:49:45,,1969-12-31 21:00:00,2024-09-20 21:23:03,1,4096,1,1,intel-broadwell,normal,True,True,,HCF_VDS03-Cloud-VM-636-Fannin-Overlay,,,,,,,,1,4096,/North America/USA/Houston/HOEDCO02/HCF_PROD_CLO004_GP_NTAPF/Resources,,,True,notConfigured,gray,-1,-1,102768,18594,18226,medium,none,vmMonitoringDisabled,,,False,10000,10000,False,False,efi,10,none,never,,[HCF_CLO004_NTAPF_DS036] 2016Core/2016Core.vmx,[HCF_CLO004_NTAPF_DS036] 2016Core/,[HCF_CLO004_NTAPF_DS036] 2016Core/,[HCF_CLO004_NTAPF_DS036] 2016Core/,,"Backup Job ID [1678436]  Client: [PrivateCloud_HOEVMS150_VSA], Backup Set: [defaultBackupSet], Subclient: [HCF_Prod_CLO04_Cloud_DS_Netapp_036]",,,3/7/2024 6:49:43 PM,,,,,HOEDCO02,HCF_PROD_CLO004_GP_NTAPF,hcfvhc426.na.site.local,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 or later (64-bit),vm-17844,503e1de7-598e-5220-c3ec-20c53fc8a9c6,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,,,,,,,,,do_not_backup,,,hoevms150.na.site.local,c540dd63-982e-4a14-a9d6-c6f25fef3db2,houston,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2016 or later,
2016DE,poweredOn,False,False,green,WIN-BHHF9Q4D47V,connected,running,green,False,2023-06-22 11:52:35,,1969-12-31 21:00:00,2024-08-21 08:46:44,1,4096,1,1,intel-broadwell,low,True,True,,HCF_VDS03-Cloud-VM-636-Fannin-Overlay,,,,,,,,1,4096,/North America/USA/Houston/HOEDCO02/HCF_PROD_CLO004_GP_NTAPF/Resources,,,True,notConfigured,gray,-1,-1,102401,23458,23457,medium,none,vmMonitoringDisabled,,,False,10000,10000,False,False,efi,10,none,never,,[HCF_CLO004_NTAPF_DS039] 2016DE/2016DE.vmx,[HCF_CLO004_NTAPF_DS039] 2016DE/,[HCF_CLO004_NTAPF_DS039] 2016DE/,[HCF_CLO004_NTAPF_DS039] 2016DE/,,"Backup Job ID [1678439]  Client: [PrivateCloud_HOEVMS150_VSA], Backup Set: [defaultBackupSet], Subclient: [HCF_Prod_CLO04_Cloud_DS_Netapp_039]",,,3/7/2024 6:49:25 PM,,,,,HOEDCO02,HCF_PROD_CLO004_GP_NTAPF,hcfvhc426.na.site.local,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 (64-bit),vm-18142,503ee71f-fd2d-2a07-a834-4a994c97fbfc,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,,,,,,,,,do_not_backup,,,hoevms150.na.site.local,c540dd63-982e-4a14-a9d6-c6f25fef3db2,houston,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012,
aamsparm,poweredOn,False,False,green,aamsparm.NA.site.local,connected,running,green,False,2024-09-18 19:12:41,,2023-12-08 08:07:30,2024-10-10 04:41:17,8,16384,1,1,intel-haswell,normal,True,,,HCF_VDS03-Cloud-VM-416,,,,,,,,1,4096,/North America/USA/Houston/HOEDCO02/HCF_PROD_CLO019_GP_NTAPF/Resources,,,True,notConfigured,gray,-1,-1,102401,41767,41765,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,efi,18,success,never,,[HCF_PROD_CLO019_NFS_DS_003] aamsparm/aamsparm.vmx,[HCF_PROD_CLO019_NFS_DS_003] aamsparm/,[HCF_PROD_CLO019_NFS_DS_003] aamsparm/,[HCF_PROD_CLO019_NFS_DS_003] aamsparm/,,,,,,,,,,HOEDCO02,HCF_PROD_CLO019_GP_NTAPF,hcfvhc433.na.site.local,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2022 (64-bit),vm-2386091,5032f973-fcd3-9394-f3b2-356791249043,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,,,Operational,ServiceNow,,Tier 1,,Production,,,,hoevms150.na.site.local,c540dd63-982e-4a14-a9d6-c6f25fef3db2,houston,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022,
aamsphou,poweredOn,False,False,green,aamsphou.NA.site.local,connected,running,green,False,2024-09-18 19:13:29,,2023-11-10 13:18:10,2024-10-10 03:19:24,4,8192,1,1,intel-haswell,normal,True,,,HCF_VDS03-Cloud-VM-411,,,,,,,,1,4096,/North America/USA/Houston/HOEDCO02/HCF_PROD_CLO019_GP_NTAPF/Resources,,,True,notConfigured,gray,-1,-1,102401,38611,38610,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,efi,18,none,never,,[HCF_PROD_CLO019_NFS_DS_001] aamsphou/aamsphou.vmx,[HCF_PROD_CLO019_NFS_DS_001] aamsphou/,[HCF_PROD_CLO019_NFS_DS_001] aamsphou/,[HCF_PROD_CLO019_NFS_DS_001] aamsphou/,,,,,,,,,,HOEDCO02,HCF_PROD_CLO019_GP_NTAPF,hcfvhc234.na.site.local,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2022 (64-bit),vm-2379000,50325e2e-c6ec-8340-2d46-a58584d7274a,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,,,Operational,ServiceNow,,Tier 1,,Production,,,,hoevms150.na.site.local,c540dd63-982e-4a14-a9d6-c6f25fef3db2,houston,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022,
aamspsin,poweredOn,False,False,green,aamspsin.NA.site.local,connected,running,green,False,2024-09-18 19:13:39,,2023-12-08 08:15:18,2024-10-08 15:13:31,8,16384,1,1,intel-haswell,normal,True,,,HCF_VDS03-Cloud-VM-416,,,,,,,,1,4096,/North America/USA/Houston/HOEDCO02/HCF_PROD_CLO019_GP_NTAPF/Resources,,,True,notConfigured,gray,-1,-1,102401,40181,40179,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,efi,19,none,never,,[HCF_PROD_CLO019_NFS_DS_003] aamspsin/aamspsin.vmx,[HCF_PROD_CLO019_NFS_DS_003] aamspsin/,[HCF_PROD_CLO019_NFS_DS_003] aamspsin/,[HCF_PROD_CLO019_NFS_DS_003] aamspsin/,,,,,,,,,,HOEDCO02,HCF_PROD_CLO019_GP_NTAPF,hcfvhc234.na.site.local,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),vm-2386092,5032b7fc-0bc2-c8f4-286c-6d317edea5d4,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,,,Operational,ServiceNow,,Tier 1,,Production,,,,hoevms150.na.site.local,c540dd63-982e-4a14-a9d6-c6f25fef3db2,houston,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022,
ABUADS031,poweredOn,False,False,green,ABUADS031.upstreamaccts.site.local,connected,running,green,False,2024-09-21 12:38:30,,2022-03-18 16:01:58,2024-07-19 17:53:35,4,32768,1,3,intel-westmere,normal,True,,,ABU_VDS01 - VM - 410,,,,,,,,1,4096,/Middle East/UAE/Abu Dhabi/ABUDCO01/ABU_PROD_CLO002_GP_NTAP/Resources,,,True,notConfigured,gray,-1,-1,501764,286108,286104,medium,none,vmMonitoringDisabled,,,False,10000,10000,False,False,efi,18,success,never,,[ABU_CLO02_NFS_DS_002] ABUADS031/ABUADS031.vmx,[ABU_CLO02_NFS_DS_002] ABUADS031/,[ABU_CLO02_NFS_DS_002] ABUADS031/,[ABU_CLO02_NFS_DS_002] ABUADS031/,,,,,,,,,,ABUDCO01,ABU_PROD_CLO002_GP_NTAP,abuvhs07.upstreamaccts.site.local,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2019 (64-bit),vm-1802977,5032baee-e86e-d9f7-f6b5-d52b7acfbf07,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,,,Operational,,,Tier 3,,Production,,,,hoevms150.na.site.local,c540dd63-982e-4a14-a9d6-c6f25fef3db2,houston,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019,
abuapp03,poweredOn,False,False,green,abuapp03.upstreamaccts.site.local,connected,running,green,False,2024-09-20 12:16:47,,2022-05-06 04:47:53,2024-07-19 11:47:20,6,65536,1,4,intel-westmere,normal,True,,,ABU_VDS01 - VM - 404,,,,,,,,1,4096,/Middle East/UAE/Abu Dhabi/ABUDCO01/ABU_PROD_CLO002_GP_NTAP/Resources,,,True,notConfigured,gray,-1,-1,450570,208657,208647,medium,none,vmMonitoringDisabled,,,False,10000,10000,False,False,efi,18,none,never,,[ABU_CLO02_NFS_DS_003] abuapp03/abuapp03.vmx,[ABU_CLO02_NFS_DS_003] abuapp03/,[ABU_CLO02_NFS_DS_003] abuapp03/,[ABU_CLO02_NFS_DS_003] abuapp03/,,,,,,,,,,ABUDCO01,ABU_PROD_CLO002_GP_NTAP,abuvhs07.upstreamaccts.site.local,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2019 (64-bit),vm-1871808,5032ae46-eb7e-4985-b874-31af4bcae116,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,,,Operational,ServiceNow,,Tier 2,,Production,,,,hoevms150.na.site.local,c540dd63-982e-4a14-a9d6-c6f25fef3db2,houston,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019,
ABUAPP04,poweredOn,False,False,green,ABUAPP04.upstreamaccts.site.local,connected,running,green,False,2024-07-19 20:14:46,,1969-12-31 21:00:00,2024-04-28 12:54:42,4,8192,1,2,intel-westmere,normal,True,,,ABU_VDS01 - VM - 404,,,,,,,,1,4096,/Middle East/UAE/Abu Dhabi/ABUDCO01/ABU_PROD_CLO002_GP_NTAP/Resources,,,True,notConfigured,gray,-1,-1,204805,133999,133994,medium,none,vmMonitoringDisabled,,,False,10000,10000,False,False,bios,18,success,never,,[ABU_CLO02_NFS_DS_001] ABUAPP04/ABUAPP04.vmx,[ABU_CLO02_NFS_DS_001] ABUAPP04/,[ABU_CLO02_NFS_DS_001] ABUAPP04/,[ABU_CLO02_NFS_DS_001] ABUAPP04/,,,,,,,,,,ABUDCO01,ABU_PROD_CLO002_GP_NTAP,abuvhs07.upstreamaccts.site.local,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 (64-bit),vm-130806,50380b10-e2bd-e6d4-c71f-4dd41862f42d,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,,,Operational,,,Tier 2,,Production,,,,hoevms150.na.site.local,c540dd63-982e-4a14-a9d6-c6f25fef3db2,houston,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012,
abuapp04eol,poweredOn,False,False,green,abuapp04eol.upstreamaccts.site.local,connected,running,green,False,2024-09-18 19:30:45,,2023-03-23 07:03:12,2024-04-28 12:53:34,4,8192,1,2,intel-westmere,normal,True,,,ABU_VDS01 - VM - 404,,,,,,,,1,4096,/Middle East/UAE/Abu Dhabi/ABUDCO01/ABU_PROD_CLO002_GP_NTAP/Resources,,,True,notConfigured,gray,-1,-1,204802,53063,53060,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,efi,18,success,never,,[ABU_CLO02_NFS_DS_002] abuapp04eol/abuapp04eol.vmx,[ABU_CLO02_NFS_DS_002] abuapp04eol/,[ABU_CLO02_NFS_DS_002] abuapp04eol/,[ABU_CLO02_NFS_DS_002] abuapp04eol/,,,,,,,,,,ABUDCO01,ABU_PROD_CLO002_GP_NTAP,abuvhs07.upstreamaccts.site.local,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2019 (64-bit),vm-2260571,503235d5-296d-504a-5d72-093277d3b5fc,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,,,Operational,ServiceNow,,Tier 2,,Production,,,,hoevms150.na.site.local,c540dd63-982e-4a14-a9d6-c6f25fef3db2,houston,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019,
