VM,Powerstate,Template,SRM Placeholder,Config status,DNS Name,Connection state,Guest state,Heartbeat,Consolidation Needed,PowerOn,Suspend time,Creation date,Change Version,CPUs,Memory,NICs,Disks,min Required EVC Mode Key,Latency Sensitivity,EnableUUID,CBT,Primary IP Address,Network #1,Network #2,Network #3,Network #4,Network #5,Network #6,Network #7,Network #8,Num Monitors,Video Ram KiB,Resource pool,Folder,vApp,DAS protection,FT State,FT Latency,FT Bandwidth,FT Sec. Latency,Provisioned MiB,In Use MiB,Unshared MiB,HA Restart Priority,HA Isolation Response,HA VM Monitoring,Cluster rule(s),Cluster rule name(s),Boot Required,Boot delay,Boot retry delay,Boot retry enabled,Boot BIOS setup,Firmware,HW version,HW upgrade status,HW upgrade policy,HW target,Path,Log directory,Snapshot directory,Suspend directory,Annotation,Backup Status,com.vrlcm.snapshot,Domain,Last Backup,latency.enforceCpuMin,Server Shutdown for DECOM,Server_Role,SRM-com.vmware.vcDr:::protected,Datacenter,Cluster,Host,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server type,VI SDK API Version,Virtual_Machine,SAP,Operation Status,DeployedBy,GRID,Service Level,VSA Backup Application,Environment,Backup,Application,VROPS TAG,VI SDK Server,VI SDK UUID,vCenter,OS Effective,Cleaned OS,Exclusion Reason
ABUSDP01,poweredOn,False,False,green,appgate-10-199-86-193,connected,running,green,False,2024-08-31 04:49:00,,2024-06-07 03:28:12,2024-08-31 04:48:55,6,32768,3,1,intel-westmere,normal,,,,SDP-SouthBound-3220,SDP-ExternalNorth-3219,SDP-InternalNorth-3224,,,,,,1,4096,/Middle East/UAE/Abu Dhabi/ABUDCO01/ABU_PROD_CLO002_GP_NTAP/Resources,,,True,notConfigured,gray,-1,-1,102400,14629,14628,medium,none,vmMonitoringDisabled,Anti Affinity,USDP01 & ABUSDP02,False,2000,10300,True,False,efi,19,none,never,,[ABU_CLO02_NFS_DS_001] ABUSDP01/ABUSDP01.vmx,[ABU_CLO02_NFS_DS_001] ABUSDP01/,[ABU_CLO02_NFS_DS_001] ABUSDP01/,[ABU_CLO02_NFS_DS_001] ABUSDP01/,,,,,,,,,,ABUDCO01,ABU_PROD_CLO002_GP_NTAP,abuvhs07.upstreamaccts.site.local,Ubuntu Linux (64-bit),Other 5.x or later Linux (64-bit),vm-2431030,5032af20-c4f8-3b65-c87b-911aa8698950,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,,,,,,,,,,,,hoevms150.na.site.local,c540dd63-982e-4a14-a9d6-c6f25fef3db2,houston,Other 5.x or later Linux (64-bit),Other 5.x or later Linux,Excluded OS
ABUSDP02,poweredOn,False,False,green,appgate-10-199-86-194,connected,running,green,False,2024-08-31 04:50:47,,2024-06-07 03:43:34,2024-08-31 04:50:45,6,32768,3,1,intel-westmere,normal,,,,SDP-SouthBound-3220,SDP-ExternalNorth-3223,SDP-InternalNorth-3224,,,,,,1,4096,/Middle East/UAE/Abu Dhabi/ABUDCO01/ABU_PROD_CLO002_GP_NTAP/Resources,,,True,notConfigured,gray,-1,-1,102400,14839,14839,medium,none,vmMonitoringDisabled,Anti Affinity,USDP01 & ABUSDP02,False,2000,10300,True,False,efi,19,none,never,,[ABU_CLO02_NFS_DS_001] ABUSDP02/ABUSDP02.vmx,[ABU_CLO02_NFS_DS_001] ABUSDP02/,[ABU_CLO02_NFS_DS_001] ABUSDP02/,[ABU_CLO02_NFS_DS_001] ABUSDP02/,,,,,,,,,,ABUDCO01,ABU_PROD_CLO002_GP_NTAP,abuvhs06.upstreamaccts.site.local,Ubuntu Linux (64-bit),Other 5.x or later Linux (64-bit),vm-2431031,5032beda-95d2-cbbc-1251-f61b8db41fc8,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,,,,,,,,,,,,hoevms150.na.site.local,c540dd63-982e-4a14-a9d6-c6f25fef3db2,houston,Other 5.x or later Linux (64-bit),Other 5.x or later Linux,Excluded OS
ABUVAPASTEA01,poweredOn,False,False,green,,connected,notRunning,gray,False,2024-04-28 12:53:23,,1969-12-31 21:00:00,2024-04-28 12:53:21,1,2048,1,1,intel-westmere,normal,,,,ABU_VDS01 - VM - 410,,,,,,,,1,4096,/Middle East/UAE/Abu Dhabi/ABUDCO01/ABU_PROD_CLO002_GP_NTAP/Resources,,,True,notConfigured,gray,-1,-1,20482,19731,19728,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,bios,7,none,never,,[ABU_CLO02_NFS_DS_005] ABUVAPASTEA01/ABUVAPASTEA01.vmx,[ABU_CLO02_NFS_DS_005] ABUVAPASTEA01/,[ABU_CLO02_NFS_DS_005] ABUVAPASTEA01/,[ABU_CLO02_NFS_DS_005] ABUVAPASTEA01/,,,,,,,,,,ABUDCO01,ABU_PROD_CLO002_GP_NTAP,abuvhs07.upstreamaccts.site.local,Ubuntu Linux (64-bit),,vm-1473702,5032102e-346e-7586-4454-8abfc2904707,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,,,,,,,,,,,,hoevms150.na.site.local,c540dd63-982e-4a14-a9d6-c6f25fef3db2,houston,Ubuntu Linux (64-bit),Ubuntu Linux,Excluded OS
AEABU-DDIBI2010,poweredOn,False,False,green,bloxone-infoblox,connected,running,green,False,2024-04-28 12:58:18,,1969-12-31 21:00:00,2024-04-28 12:58:19,4,8192,1,1,intel-westmere,normal,,,,ABU_VDS01 - VM - 404,,,,,,,,1,4096,/Middle East/UAE/Abu Dhabi/ABUDCO01/ABU_PROD_CLO002_GP_NTAP/Resources,,,True,notConfigured,gray,-1,-1,60001,54228,54226,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,bios,8,none,never,,[ABU_CLO02_NFS_DS_001] BXABUIPA080/BXABUIPA080.vmx,[ABU_CLO02_NFS_DS_001] BXABUIPA080/,[ABU_CLO02_NFS_DS_001] BXABUIPA080/,[ABU_CLO02_NFS_DS_001] BXABUIPA080/,,,,,,,,,,ABUDCO01,ABU_PROD_CLO002_GP_NTAP,abuvhs06.upstreamaccts.site.local,Ubuntu Linux (64-bit),Other 5.x or later Linux (64-bit),vm-863851,5032f616-e12d-f65f-11f1-a9e684ed3f05,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,,,,,,,,,,,,hoevms150.na.site.local,c540dd63-982e-4a14-a9d6-c6f25fef3db2,houston,Other 5.x or later Linux (64-bit),Other 5.x or later Linux,Excluded OS
AEIRS-DDIBI2010,poweredOn,False,False,green,bloxone-infoblox,connected,running,green,False,2024-04-28 12:53:25,,1969-12-31 21:00:00,2024-07-19 03:30:46,4,8192,1,1,intel-westmere,normal,,,,ABU_VDS01 - VM - 404,,,,,,,,1,4096,/Middle East/UAE/Abu Dhabi/ABUDCO01/ABU_PROD_CLO002_GP_NTAP/Resources,,,True,notConfigured,gray,-1,-1,60015,48989,48974,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,bios,8,none,never,,[ABU_CLO02_NFS_DS_002] AEIRS-DDIBI2010/AEIRS-DDIBI2010.vmx,[ABU_CLO02_NFS_DS_002] AEIRS-DDIBI2010/,[ABU_CLO02_NFS_DS_002] AEIRS-DDIBI2010/,[ABU_CLO02_NFS_DS_002] AEIRS-DDIBI2010/,,,,,,,,,,ABUDCO01,ABU_PROD_CLO002_GP_NTAP,abuvhs06.upstreamaccts.site.local,Ubuntu Linux (64-bit),Other 5.x or later Linux (64-bit),vm-1350745,503281f5-1ed9-b9a9-ffd5-f0ca2f6654e1,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,,,,,,,,,,,,hoevms150.na.site.local,c540dd63-982e-4a14-a9d6-c6f25fef3db2,houston,Other 5.x or later Linux (64-bit),Other 5.x or later Linux,Excluded OS
app-srv-dpl1,poweredOn,False,False,green,SNGPWI01,connected,running,green,False,2024-08-16 13:32:47,,2024-06-26 22:42:40,2024-10-06 22:15:14,4,4096,2,1,intel-haswell,normal,,,,HCF_VDS01-VM-100,HCF_VDS01-VM-100,,,,,,,1,4096,/North America/USA/Houston/HOEDCO02/HOE_Production_CLO071_GP_NTAP/Resources,,,True,notConfigured,gray,-1,-1,524288,339264,339263,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,bios,11,none,never,,[HOE_CLO71_NFS_DS_002] app-srv-dpl1/app-srv-dpl1.vmx,[HOE_CLO71_NFS_DS_002] app-srv-dpl1/,[HOE_CLO71_NFS_DS_002] app-srv-dpl1/,[HOE_CLO71_NFS_DS_002] app-srv-dpl1/,,,,,,,,,,HOEDCO02,HOE_Production_CLO071_GP_NTAP,hoevhs706.na.site.local,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-2436565,5032dc2f-af90-89d2-d590-6f4fc10c251b,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,,,,,,,,,,,,hoevms150.na.site.local,c540dd63-982e-4a14-a9d6-c6f25fef3db2,houston,Ubuntu Linux (64-bit),Ubuntu Linux,Excluded OS
BKKVAPASTEA01,poweredOn,False,False,green,,connected,notRunning,gray,False,2024-10-05 11:05:59,,2022-01-05 08:35:30,2024-10-05 10:39:50,1,2048,1,1,intel-haswell,normal,,,,BKK_VDS02-VM-410,,,,,,,,1,4096,/Asia/Thailand/Bangkok/BKKDCO01/BKK_PROD_CLO003_GP_NTAP/Resources,,,True,notConfigured,gray,-1,-1,20481,19134,19133,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,bios,7,none,never,,[BKK_CLO003_DS_NTAP_DS_03] BKKVAPASTEA01/BKKVAPASTEA01.vmx,[BKK_CLO003_DS_NTAP_DS_03] BKKVAPASTEA01/,[BKK_CLO003_DS_NTAP_DS_03] BKKVAPASTEA01/,[BKK_CLO003_DS_NTAP_DS_03] BKKVAPASTEA01/,,,,,,,,,,BKKDCO01,BKK_PROD_CLO003_GP_NTAP,bkkvhs13.ap.site.local,Ubuntu Linux (64-bit),,vm-1696526,50321497-d94e-3f15-f08c-29045e3b2fe1,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,,,,,,,,,,,,hoevms150.na.site.local,c540dd63-982e-4a14-a9d6-c6f25fef3db2,houston,Ubuntu Linux (64-bit),Ubuntu Linux,Excluded OS
BLRVAPASTEA01,poweredOn,False,False,green,,connected,notRunning,gray,False,2024-09-28 15:51:01,,2021-09-28 05:17:42,2024-09-28 15:54:39,1,2048,1,1,intel-haswell,normal,,,,BLR_VDS01-VM-406,,,,,,,,1,4096,/Asia/India/Bengaluru/BLRDCO01/BLR_PROD_CLO003_GP_NTAP/Resources,,,True,notConfigured,gray,-1,-1,20481,16639,16637,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,bios,7,none,never,,[BLR_PROD_CLO003_GP_NTAP_01] BLRVAPASTEA01/BLRVAPASTEA01.vmx,[BLR_PROD_CLO003_GP_NTAP_01] BLRVAPASTEA01/,[BLR_PROD_CLO003_GP_NTAP_01] BLRVAPASTEA01/,[BLR_PROD_CLO003_GP_NTAP_01] BLRVAPASTEA01/,,,,,,,,,,BLRDCO01,BLR_PROD_CLO003_GP_NTAP,blrvhs14.ap.site.local,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-1533535,50327f69-d6ea-b5af-0175-753f4acf94f6,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,,,,,,,,,,,,hoevms150.na.site.local,c540dd63-982e-4a14-a9d6-c6f25fef3db2,houston,Ubuntu Linux (64-bit),Ubuntu Linux,Excluded OS
blrvapastea02,poweredOn,False,False,green,,connected,notRunning,gray,False,2024-09-28 15:50:56,,2024-07-30 15:08:18,2024-09-28 16:25:02,1,2048,1,1,intel-haswell,normal,,,,BLR_VDS01-VM-406,,,,,,,,1,4096,/Asia/India/Bengaluru/BLRDCO01/BLR_PROD_CLO003_GP_NTAP/Resources,,,True,notConfigured,gray,-1,-1,20482,13549,13547,medium,none,vmMonitoringDisabled,,,False,0,10000,False,False,bios,13,none,never,,[BLR_PROD_CLO003_GP_NTAP_08] thousandeyes-va-64-20.04.5_1/thousandeyes-va-64-20.04.5.vmx,[BLR_PROD_CLO003_GP_NTAP_08] thousandeyes-va-64-20.04.5_1/,[BLR_PROD_CLO003_GP_NTAP_08] thousandeyes-va-64-20.04.5_1/,[BLR_PROD_CLO003_GP_NTAP_08] thousandeyes-va-64-20.04.5_1/,,,,,,,,,,BLRDCO01,BLR_PROD_CLO003_GP_NTAP,blrvhs11.ap.site.local,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-2445444,5032b94f-44a2-b074-ab42-8b0af40aedea,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,,,,,,,,,,,,hoevms150.na.site.local,c540dd63-982e-4a14-a9d6-c6f25fef3db2,houston,Ubuntu Linux (64-bit),Ubuntu Linux,Excluded OS
CEPSDP01,poweredOn,False,False,green,appgate-10-195-32-145,connected,running,green,False,2024-09-02 23:33:36,,2024-04-04 09:40:08,2024-08-31 05:16:43,6,32768,3,1,intel-haswell,normal,,,,SDP-SouthBound-3220,SDP-ExternalNorth-3219,SDP-InternalNorth-3224,,,,,,1,4096,/Asia/Indonesia/Cepu/CEPDCO01/CEP_PROD_CLO004_GP_NTAP/Resources,,,True,notConfigured,gray,-1,-1,102401,25380,25378,medium,none,vmMonitoringDisabled,Anti Affinity,Should not run in same host,False,2000,10300,True,False,efi,19,none,never,,[CEP_PROD_CLO004_DS_NFS_01] CEPSDP01/CEPSDP01.vmx,[CEP_PROD_CLO004_DS_NFS_01] CEPSDP01/,[CEP_PROD_CLO004_DS_NFS_01] CEPSDP01/,[CEP_PROD_CLO004_DS_NFS_01] CEPSDP01/,,,,,,,,,,CEPDCO01,CEP_PROD_CLO004_GP_NTAP,cepvhs12.upstreamaccts.site.local,Ubuntu Linux (64-bit),Other 5.x or later Linux (64-bit),vm-2418718,5032b0c4-ba0c-8249-4ca9-144ee6a871db,VMware vCenter Server 7.0.3 build-24026615,7.0.3.0,,,,,,,,,,,,hoevms150.na.site.local,c540dd63-982e-4a14-a9d6-c6f25fef3db2,houston,Other 5.x or later Linux (64-bit),Other 5.x or later Linux,Excluded OS
